ID,gender,age,registration,belong_to_cooperative,county,subcounty,ward,trainer,first_training_date,topics_list,num_total_trainings,num_repeat_trainings,days_to_second_training,num_unique_trainers,adopted_within_07_days,adopted_within_90_days,adopted_within_120_days,has_second_training
ID_2XXTCW,Female,Above 35,Manual,0,Bungoma,Bumula,Kimaeti,trainer_name_2,2024-02-25,"['Herd Health Management.,How To Rear Healthy Chicken With Biodeal.,Microp+ Topdressing,Ndume App,Poultry Feeding,Poultry Health Management.,Poultry Management Practises.,The Benefits Of Ndume App']",1,0,,1,0,0,0,0
ID_Y1M5OS,Female,Above 35,Ussd,1,Nandi,Chesumei,Lelmokwo Ngechek,trainer_name_5,2024-02-19,"['Biodeal Poultry,Biosecurity In Poultry Farming,Calf Feeding,Dairy Feed Management,Feeding A Lactating Cow,Milking Hygiene,Ndume App,Personal Protective Equipment (Ppe),Poultry Diseases And Biosecurity,Record Keeping In Poultry', 'Ndume App', 'Dairy Feed Management', 'Record Keeping In Poultry', 'Biodeal Poultry', 'Biosecurity In Poultry Farming', 'Feeding A Lactating Cow', 'Calf Feeding', 'Milking Hygiene', 'Poultry Diseases And Biosecurity', 'Personal Protective Equipment (Ppe)']",11,10,0.0,1,0,0,0,1
ID_MY1BWF,Female,Above 35,Manual,0,Nandi,Mosop,Ndalat,trainer_name_5,2024-02-16,"['Benfits Of Sistema Biogas,Dairy Cow Feeding,Dairy Feed Management,Dairy Health Management,Dairy Nutrition With Tyari,Diseases In Dairy Farming,General Livestock Management,Harvesting & Post-Harvest Handling.,How To Feed Kienyeji Chicken For Meat,How To Manage Pest And Diseases At Harvesting Stage,How To Rear A Calf With Unga Products,Importance Of Vaccinating Against East Coast Fever (Ecf),Importance Of Vaccinations And Record,Livestock Management Practices,Livestock Management Practices.,Microp+ Topdressing,Personal Protective Equipment (Ppe),Pest And Disease Management In Maize And Beans,Pest And Diseases At Harvesting Stage,Poultry Feed And Water Management,Poultry Feeding With Tyari,Poultry Health Management,Record Keeping In Poultry,Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'Dairy Cow Feeding', 'Dairy Feed Management', 'Poultry Feed And Water Management', 'Record Keeping In Poultry', 'Microp+ Topdressing', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'How To Rear A Calf With Unga Products', 'How To Feed Kienyeji Chicken For Meat', 'Personal Protective Equipment (Ppe)', 'Poultry Health Management', 'Diseases In Dairy Farming', 'Dairy Health Management', 'Poultry Feeding With Tyari', 'Dairy Nutrition With Tyari', 'Importance Of Vaccinating Against East Coast Fever (Ecf)', 'Pest And Disease Management In Maize And Beans', 'Importance Of Vaccinations And Record', 'Pest And Diseases At Harvesting Stage', 'Livestock Management Practices', 'Benfits Of Sistema Biogas', 'How To Manage Pest And Diseases At Harvesting Stage', 'Livestock Management Practices.', 'Harvesting & Post-Harvest Handling.', 'General Livestock Management']",25,24,0.0,1,0,0,0,1
ID_FJ9981,Female,Above 35,Manual,1,Nandi,Mosop,Kabisaga,trainer_name_5,2024-02-27,"['Benfits Of Sistema Biogas,Biodeal Poultry,Control Of External Parasites With Dominex.,Dairy Housing,Dairy Hygiene, Health And Feeds,Feed For Layers,How To Feed Kienyeji Chicken For Meat,How To Manage Pest And Diseases At Harvesting Stage,How To Rear A Calf With Unga Products,Importance Of Vaccinations And Record,Kienyeji Poultry Feeds,Livestock Management Practices,Livestock Management Practices.,Pest And Diseases At Harvesting Stage,Poultry And Dairy Feeding With Tyari Feeds,Poultry Housing,Poultry Products,Record Keeping In Dairy,Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'Record Keeping In Dairy', 'Dairy Housing', 'Poultry Housing', 'Poultry Products', 'Kienyeji Poultry Feeds', 'Dairy Hygiene, Health And Feeds', 'Biodeal Poultry', 'Feed For Layers', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'How To Rear A Calf With Unga Products', 'How To Feed Kienyeji Chicken For Meat', 'Poultry And Dairy Feeding With Tyari Feeds', 'Importance Of Vaccinations And Record', 'Control Of External Parasites With Dominex.', 'Pest And Diseases At Harvesting Stage', 'Livestock Management Practices', 'Benfits Of Sistema Biogas', 'How To Manage Pest And Diseases At Harvesting Stage', 'Livestock Management Practices.']",20,19,0.0,1,1,1,1,1
ID_8PDD8Z,Female,Above 35,Ussd,0,Bomet,Sotik,Ndanai/Abosi,trainer_name_10,2024-02-20,"['Ndume App', 'Poultry Feeding', 'Dairy Cow Feeding', 'Factors Affecting Milk Production']",4,3,0.0,1,0,0,0,1
ID_9VO8FO,Female,Above 35,Ussd,1,Nandi,Mosop,Ndalat,trainer_name_5,2024-02-16,"['Benfits Of Sistema Biogas,Dairy Cow Feeding,Dairy Health Management,Dairy Nutrition With Tyari,Diseases In Dairy Farming,How To Feed Kienyeji Chicken For Meat,How To Manage Pest And Diseases At Harvesting Stage,How To Rear A Calf With Unga Products,Importance Of Vaccinating Against East Coast Fever (Ecf),Importance Of Vaccinations And Record,Livestock Management Practices.,Pest And Disease Management In Maize And Beans,Poultry Feeding With Tyari,Poultry Health Management,Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'Dairy Cow Feeding', 'How To Feed Kienyeji Chicken For Meat', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'How To Rear A Calf With Unga Products', 'Poultry Health Management', 'Diseases In Dairy Farming', 'Dairy Health Management', 'Poultry Feeding With Tyari', 'Dairy Nutrition With Tyari', 'Importance Of Vaccinating Against East Coast Fever (Ecf)', 'Pest And Disease Management In Maize And Beans', 'Importance Of Vaccinations And Record', 'Benfits Of Sistema Biogas', 'How To Manage Pest And Diseases At Harvesting Stage', 'Livestock Management Practices.']",16,15,0.0,1,1,1,1,1
ID_TS7439,Female,Above 35,Manual,0,Bungoma,Bumula,Kimaeti,trainer_name_2,2024-02-25,"['How To Succeed In Breeding,Microp+ Planting,Ndume App,Poultry Feeding,Poultry Management Practices,Yara Maziwa Pro']",1,0,,1,0,0,0,0
ID_1TY94E,Female,Above 35,Ussd,1,Nandi,Mosop,Ndalat,trainer_name_5,2024-02-19,"['Dairy Cow Feeding,Factors Affecting Milk Production,How To Feed Kienyeji Chicken For Meat,How To Rear A Calf With Unga Products,Ndume App,Poultry Products,Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'Ndume App', 'Poultry Products', 'Factors Affecting Milk Production', 'Dairy Cow Feeding', 'How To Feed Kienyeji Chicken For Meat', 'How To Rear A Calf With Unga Products', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving']",8,7,0.0,1,0,0,0,1
ID_14RQZM,Female,Above 35,Manual,0,Bungoma,Bumula,Kimaeti,trainer_name_2,2024-02-25,"['Ndume App,Poultry Feeding']",1,0,,1,0,0,0,0
ID_D4JI1P,Female,Above 35,Ussd,1,Nandi,Mosop,Ndalat,trainer_name_5,2024-02-16,"['Benfits Of Sistema Biogas,Dairy Cow Feeding,Dairy Feed Management,Dairy Health Management,Diseases In Dairy Farming,General Livestock Management,Harvesting & Post-Harvest Handling.,How To Feed Kienyeji Chicken For Meat,How To Manage Pest And Diseases At Harvesting Stage,How To Rear A Calf With Unga Products,Importance Of Vaccinating Against East Coast Fever (Ecf),Importance Of Vaccinations And Record,Kienyeji Chicken Rearing For October,Livestock Management Practices,Livestock Management Practices.,Microp+ Topdressing,Milking Hygiene,Personal Protective Equipment (Ppe),Pest And Disease Management In Maize And Beans,Pest And Diseases At Harvesting Stage,Poultry Diseases And Biosecurity,Poultry Feed And Water Management,Poultry Health Management,Record Keeping In Poultry,Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'Dairy Cow Feeding', 'Dairy Feed Management', 'Poultry Feed And Water Management', 'Record Keeping In Poultry', 'Microp+ Topdressing', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'How To Rear A Calf With Unga Products', 'How To Feed Kienyeji Chicken For Meat', 'Milking Hygiene', 'Poultry Diseases And Biosecurity', 'Personal Protective Equipment (Ppe)', 'Kienyeji Chicken Rearing For October', 'Poultry Health Management', 'Diseases In Dairy Farming', 'Dairy Health Management', 'Importance Of Vaccinating Against East Coast Fever (Ecf)', 'Pest And Disease Management In Maize And Beans', 'Importance Of Vaccinations And Record', 'Pest And Diseases At Harvesting Stage', 'Livestock Management Practices', 'Benfits Of Sistema Biogas', 'How To Manage Pest And Diseases At Harvesting Stage', 'Livestock Management Practices.', 'Harvesting & Post-Harvest Handling.', 'General Livestock Management']",26,25,0.0,1,1,1,1,1
ID_QRLOP7,Female,Above 35,Manual,0,Nyamira,North Mugirango,Bomwagamo,trainer_name_4,2024-02-29,"['Poultry Feeding', 'Poultry Feeding', 'Poultry Feeding', 'Dairy Cow Feeding', 'Dairy Cow Feeding', 'Dairy Cow Feeding', 'Factors Affecting Milk Production', 'Factors Affecting Milk Production', 'Factors Affecting Milk Production', 'Biodeal Dairy', 'Biodeal Dairy', 'Biodeal Dairy', 'Biodeal Poultry', 'Biodeal Poultry', 'Biodeal Poultry', 'Disadvantages Of Natural Mating', 'Disadvantages Of Natural Mating', 'Disadvantages Of Natural Mating', 'Herd Health', 'Herd Health', 'Herd Health', 'Disadvantages Of Natural Mating', 'Disadvantages Of Natural Mating', 'Disadvantages Of Natural Mating', 'Herd Health Practices', 'Herd Health Practices', 'Herd Health Practices', 'Reasons Why Ai Fails And Solutions', 'Reasons Why Ai Fails And Solutions', 'Reasons Why Ai Fails And Solutions', 'Poultry Management Pract', 'Poultry Management Pract', 'Poultry Management Pract', 'The Benefits Of Ndume App', 'The Benefits Of Ndume App', 'The Benefits Of Ndume App', 'Poultry Health Management.', 'Poultry Health Management.', 'Poultry Health Management.', 'Poultry Management Practises.', 'Poultry Management Practises.', 'Poultry Management Practises.', 'The Benefits Of Ndume App', 'The Benefits Of Ndume App', 'The Benefits Of Ndume App', 'How To Rear Healthy Chicken With Biodeal.', 'How To Rear Healthy Chicken With Biodeal.', 'How To Rear Healthy Chicken With Biodeal.', 'Poultry Management Practises..', 'Poultry Management Practises..', 'Poultry Management Practises..', 'Poultry Health Management..', 'Poultry Health Management..', 'Poultry Health Management..', 'Aflatoxin In Dairy Farming', 'Aflatoxin In Dairy Farming', 'Aflatoxin In Dairy Farming', 'Antimicrobial Resistance', 'Antimicrobial Resistance', 'Antimicrobial Resistance', 'Why You Should Vaccinate Your Animals', 'Why You Should Vaccinate Your Animals', 'Why You Should Vaccinate Your Animals', 'Deworming And Record Keeping In Animal Health', 'Deworming And Record Keeping In Animal Health', 'Deworming And Record Keeping In Animal Health', 'Importance Of Mineral Supplementation', 'Importance Of Mineral Supplementation', 'Importance Of Mineral Supplementation', 'Poultry Health With Biodeal', 'Poultry Health With Biodeal', 'Poultry Health With Biodeal', 'Herd. Health. Management', 'Herd. Health. Management', 'Herd. Health. Management', 'Poultry Management. Practices', 'Poultry Management. Practices', 'Poultry Management. Practices', 'Poultry Feeding With Tyari', 'Poultry Feeding With Tyari', 'Poultry Feeding With Tyari', 'Importance Of Choosing The Right Seed Variety', 'Importance Of Choosing The Right Seed Variety', 'Importance Of Choosing The Right Seed Variety', 'Asili Fertilizer (Organic)', 'Asili Fertilizer (Organic)', 'Asili Fertilizer (Organic)', 'Importance Of Vaccination', 'Importance Of Vaccination', 'Importance Of Vaccination', 'Pest And Disease Management In Maize And Beans', 'Pest And Disease Management In Maize And Beans', 'Pest And Disease Management In Maize And Beans', 'Importance Of Vaccinations And Record', 'Importance Of Vaccinations And Record', 'Importance Of Vaccinations And Record', 'Importance Of Mineral Supplementation With Ckl', 'Importance Of Mineral Supplementation With Ckl', 'Importance Of Mineral Supplementation With Ckl', 'Successfull Breeding With Crv', 'Successfull Breeding With Crv', 'Successfull Breeding With Crv', 'Livestock Management Practices.', 'Livestock Management Practices.', 'Livestock Management Practices.', 'How To Manage Pest And Diseases At Harvesting Stage', 'How To Manage Pest And Diseases At Harvesting Stage', 'How To Manage Pest And Diseases At Harvesting Stage']",108,107,0.0,1,1,1,1,1
ID_TY06AB,Female,Below 35,Ussd,0,Bungoma,Bumula,Kimaeti,trainer_name_2,2024-02-25,"['Deworming Your Dairy Animal,Herd Health Management.,Herd Management,Microp+ Planting,Microp+ Topdressing,Ndume App,Poultry Feeding,Poultry Health Management.,Poultry Management Practises.,Poultry Mngt Practices,Reasons Why Ai Fails And Solutions,The Benefits Of Ndume App,Why You Should Vaccinate Your Animals,Yara Maziwa Pro']",1,0,,1,0,0,0,0
ID_O7JKB6,Female,Above 35,Ussd,0,Machakos,Matungulu,Matungulu West,trainer_name_3,2024-02-21,"['Dairy Cow Feeding', 'Poultry Products', 'Disadvantages Of Natural Mating.', 'The Benefits Of Ndume App', 'Poultry Management Practises.', 'Sheep And Goat Management Practices', 'Sheep And Goat Management Practices', 'Aflatoxin In Dairy Farming', 'Antimicrobial Resistance', 'Pest And Disease Management At Production Stage']",10,9,0.0,1,0,0,0,1
ID_PY3SYO,Male,Above 35,Ussd,0,Bungoma,Bumula,Kabula,trainer_name_2,2024-02-24,"['How To Succeed In Breeding,Microp+ Planting,Ndume App,Poultry Feeding,Poultry Management Practices,Yara Maziwa Pro']",1,0,,1,0,0,0,0
ID_F33L01,Female,Above 35,Ussd,0,Bomet,Sotik,Ndanai/Abosi,trainer_name_10,2024-02-13,['Factors Affecting Milk Production'],1,0,,1,0,0,0,0
ID_ADQTIK,Male,Above 35,Ussd,0,Machakos,Matungulu,Matungulu East,trainer_name_3,2024-02-29,"['Poultry Products', 'Dairy Cow Feeding', 'The Benefits Of Ndume App', 'Goat Management Practices']",4,3,0.0,1,0,0,0,1
ID_PFH94U,Male,Above 35,Ussd,0,Bungoma,Bumula,Kabula,trainer_name_2,2024-02-24,"['Ndume App,Poultry Feeding']",1,0,,1,0,0,0,0
ID_P2W1WM,Male,Below 35,Ussd,0,Bomet,Sotik,Ndanai/Abosi,trainer_name_10,2024-02-29,"['Factors Affecting Milk Production', 'Dairy Cow Feeding', 'Poultry Feeding', 'Ndume App']",4,3,0.0,1,0,0,0,1
